FrameTimeMillis,MemoryUsageBytes,Technique
51.4469,598623896,NaiveDebugWorld
51.7362,598624696,NaiveDebugWorld
51.5621,598625080,NaiveDebugWorld
50.6795,598625496,NaiveDebugWorld
52.0344,598626136,NaiveDebugWorld
52.0654,598626520,NaiveDebugWorld
50.5572,598626936,NaiveDebugWorld
51.4871,598627480,NaiveDebugWorld
52.0847,598627960,NaiveDebugWorld
50.8282,598628536,NaiveDebugWorld
51.1616,598628920,NaiveDebugWorld
62.5618,598629336,NaiveDebugWorld
44.0755,598629976,NaiveDebugWorld
47.86,598630360,NaiveDebugWorld
49.6876,598630776,NaiveDebugWorld
45.9048,598631416,NaiveDebugWorld
45.417,598631800,NaiveDebugWorld
45.9987,598632216,NaiveDebugWorld
47.6516,598632856,NaiveDebugWorld
48.3828,598633240,NaiveDebugWorld
44.8054,598633656,NaiveDebugWorld
52.0392,598634296,NaiveDebugWorld
47.0685,598634680,NaiveDebugWorld
44.8898,598635096,NaiveDebugWorld
44.2466,598635736,NaiveDebugWorld
38.1572,598636120,NaiveDebugWorld
44.1985,598636376,NaiveDebugWorld
43.3036,598637176,NaiveDebugWorld
40.6313,598637560,NaiveDebugWorld
47.1585,598637816,NaiveDebugWorld
36.9217,598638616,NaiveDebugWorld
43.6345,598639000,NaiveDebugWorld
42.74,598639480,NaiveDebugWorld
35.3228,598639896,NaiveDebugWorld
41.7183,598640536,NaiveDebugWorld
43.5086,598640920,NaiveDebugWorld
42.4271,598641176,NaiveDebugWorld
41.9932,598641976,NaiveDebugWorld
41.1811,598642360,NaiveDebugWorld
44.479,598642840,NaiveDebugWorld
42.3792,598643416,NaiveDebugWorld
40.8357,598643800,NaiveDebugWorld
43.086,598644280,NaiveDebugWorld
43.4614,598644696,NaiveDebugWorld
40.1825,598645336,NaiveDebugWorld
44.0274,598645720,NaiveDebugWorld
40.4593,598645976,NaiveDebugWorld
37.7316,598646776,NaiveDebugWorld
38.5857,598647160,NaiveDebugWorld
36.738,598647640,NaiveDebugWorld
36.2906,598648056,NaiveDebugWorld
39.7087,598648696,NaiveDebugWorld
36.827,598649080,NaiveDebugWorld
38.7557,598649560,NaiveDebugWorld
36.3732,598649976,NaiveDebugWorld
38.4216,598650616,NaiveDebugWorld
40.6105,598651000,NaiveDebugWorld
32.3751,598651256,NaiveDebugWorld
33.9721,598652056,NaiveDebugWorld
33.3342,598652536,NaiveDebugWorld
33.5841,598652920,NaiveDebugWorld
35.1279,598653176,NaiveDebugWorld
28.1639,598653816,NaiveDebugWorld
28.1511,598654456,NaiveDebugWorld
29.6699,598654840,NaiveDebugWorld
29.9696,598655320,NaiveDebugWorld
27.3744,598655576,NaiveDebugWorld
29.2299,598656216,NaiveDebugWorld
28.8278,598656856,NaiveDebugWorld
29.1076,598657240,NaiveDebugWorld
28.6213,598657720,NaiveDebugWorld
30.1896,598657976,NaiveDebugWorld
27.4915,598658616,NaiveDebugWorld
27.8519,598659288,NaiveDebugWorld
28.6213,598659624,NaiveDebugWorld
30.9804,673352592,NaiveDebugWorld
896.1076,675619288,NaiveDebugWorld
35.7544,675642288,NaiveDebugWorld
16.1347,750372312,NaiveDebugWorld
592.7117,752628776,NaiveDebugWorld
29.8067,752637864,NaiveDebugWorld
12.4377,827367632,NaiveDebugWorld
506.6141,829635592,NaiveDebugWorld
24.4326,829644520,NaiveDebugWorld
9.253,862806304,NaiveDebugWorld
236.1968,863781288,NaiveDebugWorld
20.1349,863790592,NaiveDebugWorld
6.9267,896954520,NaiveDebugWorld
260.5721,897925488,NaiveDebugWorld
22.5278,897933736,NaiveDebugWorld
9.52,897932880,NaiveDebugWorld
5.8132,897933360,NaiveDebugWorld
204.0596,897928112,NaiveDebugWorld
73.1047,897934320,NaiveDebugWorld
51.5417,897934896,NaiveDebugWorld
52.1174,897935280,NaiveDebugWorld
53.6263,897935536,NaiveDebugWorld
48.7675,897936336,NaiveDebugWorld
52.8942,897936720,NaiveDebugWorld
50.5201,897937136,NaiveDebugWorld
51.8002,897937776,NaiveDebugWorld
51.5339,897938160,NaiveDebugWorld
51.1505,897938576,NaiveDebugWorld
50.6745,897939120,NaiveDebugWorld
57.2077,897939376,NaiveDebugWorld
52.5924,897940176,NaiveDebugWorld
48.9192,897940560,NaiveDebugWorld
53.5069,897940976,NaiveDebugWorld
52.6515,897941616,NaiveDebugWorld
48.4059,897942000,NaiveDebugWorld
53.5012,897942416,NaiveDebugWorld
49.9258,897942960,NaiveDebugWorld
51.0512,897943440,NaiveDebugWorld
46.6455,897944016,NaiveDebugWorld
48.33,897944400,NaiveDebugWorld
45.7259,897944880,NaiveDebugWorld
48.3613,897945456,NaiveDebugWorld
45.9311,897945840,NaiveDebugWorld
48.3901,897946320,NaiveDebugWorld
46.0733,897946896,NaiveDebugWorld
46.9134,897947280,NaiveDebugWorld
46.6514,897947760,NaiveDebugWorld
50.2676,897948336,NaiveDebugWorld
44.1007,897948720,NaiveDebugWorld
44.8631,897949200,NaiveDebugWorld
44.6662,897949776,NaiveDebugWorld
41.1977,897950160,NaiveDebugWorld
41.2197,897950640,NaiveDebugWorld
42.963,897951056,NaiveDebugWorld
41.5286,897951696,NaiveDebugWorld
45.4615,897952080,NaiveDebugWorld
39.6153,897952336,NaiveDebugWorld
42.085,897953136,NaiveDebugWorld
43.2279,897953520,NaiveDebugWorld
42.4117,897953776,NaiveDebugWorld
41.8899,897954576,NaiveDebugWorld
41.6947,897954960,NaiveDebugWorld
45.8837,897955440,NaiveDebugWorld
43.3474,897955856,NaiveDebugWorld
38.4774,897956496,NaiveDebugWorld
41.8049,897956880,NaiveDebugWorld
42.6728,897957136,NaiveDebugWorld
43.4842,897957936,NaiveDebugWorld
42.0739,897958320,NaiveDebugWorld
42.4843,897958576,NaiveDebugWorld
42.5733,897959376,NaiveDebugWorld
42.8182,897959760,NaiveDebugWorld
50.1933,897960016,NaiveDebugWorld
41.2423,897960816,NaiveDebugWorld
36.8681,897961200,NaiveDebugWorld
39.8212,897961680,NaiveDebugWorld
37.7104,897961936,NaiveDebugWorld
37.3768,897962736,NaiveDebugWorld
37.89,897963120,NaiveDebugWorld
40.053,897963600,NaiveDebugWorld
41.9603,897964016,NaiveDebugWorld
32.9911,897964656,NaiveDebugWorld
39.8415,897965040,NaiveDebugWorld
40.9769,897965296,NaiveDebugWorld
31.9331,897966096,NaiveDebugWorld
32.5375,897966576,NaiveDebugWorld
32.4075,897966960,NaiveDebugWorld
33.8599,897967440,NaiveDebugWorld
29.6375,897967856,NaiveDebugWorld
28.7931,897968496,NaiveDebugWorld
29.9641,897968880,NaiveDebugWorld
27.797,897969360,NaiveDebugWorld
28.2266,897969616,NaiveDebugWorld
31.1522,897970256,NaiveDebugWorld
30.7964,897970896,NaiveDebugWorld
4.837,0,CullingDebugWorld
4.788,312,CullingDebugWorld
4.9378,984,CullingDebugWorld
5.4427,1464,CullingDebugWorld
5.1286,1944,CullingDebugWorld
5.2886,2584,CullingDebugWorld
5.239,3064,CullingDebugWorld
5.0435,3544,CullingDebugWorld
5.3103,4024,CullingDebugWorld
5.1513,4504,CullingDebugWorld
5.0975,4984,CullingDebugWorld
5.609,5464,CullingDebugWorld
4.7622,5944,CullingDebugWorld
4.8388,6328,CullingDebugWorld
5.1461,6808,CullingDebugWorld
6.1827,7288,CullingDebugWorld
4.9106,7768,CullingDebugWorld
4.9035,8248,CullingDebugWorld
5.6758,8728,CullingDebugWorld
4.7433,9208,CullingDebugWorld
4.9898,9688,CullingDebugWorld
5.2058,10168,CullingDebugWorld
5.356,10648,CullingDebugWorld
5.2335,11128,CullingDebugWorld
5.4478,11608,CullingDebugWorld
4.7321,11864,CullingDebugWorld
5.4931,12344,CullingDebugWorld
5.4441,12824,CullingDebugWorld
5.085,13464,CullingDebugWorld
5.6208,13944,CullingDebugWorld
5.1807,14424,CullingDebugWorld
4.9336,14904,CullingDebugWorld
4.933,15544,CullingDebugWorld
5.3876,16024,CullingDebugWorld
5.2175,16504,CullingDebugWorld
4.8096,16984,CullingDebugWorld
5.0826,17464,CullingDebugWorld
5.3688,17944,CullingDebugWorld
4.8066,18424,CullingDebugWorld
4.8488,18904,CullingDebugWorld
5.3872,19288,CullingDebugWorld
5.4895,19768,CullingDebugWorld
4.8331,20248,CullingDebugWorld
4.683,20728,CullingDebugWorld
6.7885,21208,CullingDebugWorld
6.6868,21688,CullingDebugWorld
6.4211,22168,CullingDebugWorld
5.2348,22648,CullingDebugWorld
5.3675,23128,CullingDebugWorld
4.9133,23608,CullingDebugWorld
4.9099,24088,CullingDebugWorld
4.9328,24344,CullingDebugWorld
5.5498,24824,CullingDebugWorld
5.1443,25304,CullingDebugWorld
4.8714,25784,CullingDebugWorld
4.9855,26424,CullingDebugWorld
5.6148,26904,CullingDebugWorld
5.2619,27384,CullingDebugWorld
5.2641,27864,CullingDebugWorld
4.9636,28504,CullingDebugWorld
5.3146,28984,CullingDebugWorld
4.7749,29464,CullingDebugWorld
5.4046,29944,CullingDebugWorld
5.0984,30424,CullingDebugWorld
5.7438,30904,CullingDebugWorld
4.9933,31384,CullingDebugWorld
5.0907,31768,CullingDebugWorld
5.2075,32248,CullingDebugWorld
5.1477,32728,CullingDebugWorld
5.3193,33208,CullingDebugWorld
4.9522,33688,CullingDebugWorld
5.8024,34168,CullingDebugWorld
5.1618,34648,CullingDebugWorld
5.1955,35128,CullingDebugWorld
7.3062,35608,CullingDebugWorld
7.9175,36088,CullingDebugWorld
4.7484,36568,CullingDebugWorld
5.2606,36824,CullingDebugWorld
5.4635,37304,CullingDebugWorld
4.9011,37784,CullingDebugWorld
4.7792,38264,CullingDebugWorld
5.1683,38904,CullingDebugWorld
5.3866,39384,CullingDebugWorld
5.0194,39864,CullingDebugWorld
5.0844,40344,CullingDebugWorld
4.8158,40984,CullingDebugWorld
5.2396,41464,CullingDebugWorld
5.6379,41944,CullingDebugWorld
5.1173,42424,CullingDebugWorld
4.6764,42904,CullingDebugWorld
5.6107,43384,CullingDebugWorld
5.1062,43864,CullingDebugWorld
4.824,44344,CullingDebugWorld
5.0702,44728,CullingDebugWorld
5.702,45208,CullingDebugWorld
5.0566,45688,CullingDebugWorld
5.2227,46168,CullingDebugWorld
5.4794,46648,CullingDebugWorld
4.9167,47128,CullingDebugWorld
5.03,47608,CullingDebugWorld
5.6348,48088,CullingDebugWorld
5.0583,48568,CullingDebugWorld
5.5284,49048,CullingDebugWorld
5.1288,49528,CullingDebugWorld
5.0793,49784,CullingDebugWorld
5.195,50264,CullingDebugWorld
5.8616,50744,CullingDebugWorld
4.8185,51224,CullingDebugWorld
4.9503,51864,CullingDebugWorld
5.6864,52344,CullingDebugWorld
4.8183,52824,CullingDebugWorld
5.0094,53304,CullingDebugWorld
4.9546,53944,CullingDebugWorld
5.6066,54424,CullingDebugWorld
4.9188,54904,CullingDebugWorld
5.5151,55384,CullingDebugWorld
7.3552,55864,CullingDebugWorld
6.9655,56344,CullingDebugWorld
5.1294,56824,CullingDebugWorld
4.9631,57208,CullingDebugWorld
5.8147,57688,CullingDebugWorld
5.8122,58168,CullingDebugWorld
4.9875,58648,CullingDebugWorld
5.6264,59128,CullingDebugWorld
5.0639,59608,CullingDebugWorld
6.0452,60088,CullingDebugWorld
6.7529,60568,CullingDebugWorld
7.6498,61048,CullingDebugWorld
5.7617,61528,CullingDebugWorld
6.8764,61784,CullingDebugWorld
7.8738,62264,CullingDebugWorld
6.5229,62744,CullingDebugWorld
6.0448,63384,CullingDebugWorld
6.5427,63864,CullingDebugWorld
