FrameTimeMillis,MemoryUsageBytes,Technique
5.2124,662144,NaiveDebugWorld
28.9252,2890976,NaiveDebugWorld
34.3929,2903368,NaiveDebugWorld
21.842,2905992,NaiveDebugWorld
16.9503,2906472,NaiveDebugWorld
8.3906,2906952,NaiveDebugWorld
5.5247,2907208,NaiveDebugWorld
5.2135,2907688,NaiveDebugWorld
18.8899,35828192,NaiveDebugWorld
249.3054,68977784,NaiveDebugWorld
254.2337,69956656,NaiveDebugWorld
18.6388,69964488,NaiveDebugWorld
7.8474,103126272,NaiveDebugWorld
222.5975,136283288,NaiveDebugWorld
243.1952,211054200,NaiveDebugWorld
492.0064,212033624,NaiveDebugWorld
21.915,213018736,NaiveDebugWorld
14.4511,213020776,NaiveDebugWorld
7.3159,287790144,NaiveDebugWorld
477.2677,321391320,NaiveDebugWorld
240.437,396122392,NaiveDebugWorld
489.9253,397101888,NaiveDebugWorld
19.1084,397110136,NaiveDebugWorld
7.2714,471839784,NaiveDebugWorld
478.6348,505001528,NaiveDebugWorld
232.703,579732552,NaiveDebugWorld
484.7204,654464248,NaiveDebugWorld
490.7506,656739152,NaiveDebugWorld
24.3165,656747920,NaiveDebugWorld
7.3704,731477568,NaiveDebugWorld
484.0134,764636072,NaiveDebugWorld
235.585,797797904,NaiveDebugWorld
244.0368,830960648,NaiveDebugWorld
229.8592,831939520,NaiveDebugWorld
17.4085,831947352,NaiveDebugWorld
6.8042,865109136,NaiveDebugWorld
220.8429,898266056,NaiveDebugWorld
237.0474,931428800,NaiveDebugWorld
241.6214,932407656,NaiveDebugWorld
21.3803,933392768,NaiveDebugWorld
15.8784,934371640,NaiveDebugWorld
20.048,935350496,NaiveDebugWorld
77.734,935352504,NaiveDebugWorld
38.5253,935354512,NaiveDebugWorld
37.9511,935356520,NaiveDebugWorld
38.143,935358528,NaiveDebugWorld
37.566,1010085296,NaiveDebugWorld
504.5167,1043242872,NaiveDebugWorld
220.6593,1045516920,NaiveDebugWorld
19.1808,1047797776,NaiveDebugWorld
18.9171,1050073584,NaiveDebugWorld
17.6827,1050076144,NaiveDebugWorld
70.7797,1050078232,NaiveDebugWorld
39.0663,1050080272,NaiveDebugWorld
38.2253,1050081368,NaiveDebugWorld
38.0384,1124808616,NaiveDebugWorld
512.6329,1157965520,NaiveDebugWorld
231.0976,1160240336,NaiveDebugWorld
19.6464,1162521960,NaiveDebugWorld
18.1872,1163502928,NaiveDebugWorld
12.6412,1163504968,NaiveDebugWorld
77.7877,1163507056,NaiveDebugWorld
49.1702,1163509096,NaiveDebugWorld
38.6109,1163509808,NaiveDebugWorld
38.1975,1196668384,NaiveDebugWorld
227.8621,1197643616,NaiveDebugWorld
15.4265,1199922600,NaiveDebugWorld
18.5401,1202197240,NaiveDebugWorld
18.4409,1203176712,NaiveDebugWorld
77.2413,1203180352,NaiveDebugWorld
60.8494,1203182440,NaiveDebugWorld
38.4546,1203184480,NaiveDebugWorld
38.5447,1203186488,NaiveDebugWorld
38.6123,1236343888,NaiveDebugWorld
343.6944,1237315976,NaiveDebugWorld
49.4797,1238300672,NaiveDebugWorld
45.5081,1239279528,NaiveDebugWorld
51.4066,1240258400,NaiveDebugWorld
67.4481,1240260408,NaiveDebugWorld
28.8966,1240262416,NaiveDebugWorld
30.1904,1240264424,NaiveDebugWorld
24.7643,1240266432,NaiveDebugWorld
28.9584,1240265576,NaiveDebugWorld
40.9782,1240266056,NaiveDebugWorld
37.4167,1240266536,NaiveDebugWorld
38.7656,1240267016,NaiveDebugWorld
37.0172,1240267496,NaiveDebugWorld
39.5792,1240267976,NaiveDebugWorld
35.487,1240268456,NaiveDebugWorld
40.329,1240268936,NaiveDebugWorld
35.5153,1240269416,NaiveDebugWorld
39.7195,1240269896,NaiveDebugWorld
38.0513,1240270376,NaiveDebugWorld
36.1745,1240270856,NaiveDebugWorld
38.6402,1240271336,NaiveDebugWorld
41.3673,1240271816,NaiveDebugWorld
36.4985,1240272296,NaiveDebugWorld
39.4078,1240272776,NaiveDebugWorld
37.4123,1240273256,NaiveDebugWorld
38.7094,1240273736,NaiveDebugWorld
5.157,662200,CullingDebugWorld
21.4988,612912,CullingDebugWorld
18.1191,612768,CullingDebugWorld
18.8479,610736,CullingDebugWorld
18.766,611216,CullingDebugWorld
13.7014,624392,CullingDebugWorld
10.1367,626968,CullingDebugWorld
6.4699,627448,CullingDebugWorld
19.0837,630120,CullingDebugWorld
29.8181,630520,CullingDebugWorld
12.2406,620864,CullingDebugWorld
7.894,621504,CullingDebugWorld
6.6487,621984,CullingDebugWorld
8.7209,622624,CullingDebugWorld
18.2144,625968,CullingDebugWorld
70.6011,791944,CullingDebugWorld
16.2566,1185544,CullingDebugWorld
13.1225,1188104,CullingDebugWorld
6.9802,1190368,CullingDebugWorld
60.294,1192440,CullingDebugWorld
69.3699,1194256,CullingDebugWorld
68.85571,1624976,CullingDebugWorld
15.0852,1627568,CullingDebugWorld
7.6936,1629280,CullingDebugWorld
59.8131,1631304,CullingDebugWorld
64.7015,1633120,CullingDebugWorld
68.7946,1635096,CullingDebugWorld
66.9223,2065784,CullingDebugWorld
14.9663,2068648,CullingDebugWorld
7.3639,2070656,CullingDebugWorld
56.5843,2072672,CullingDebugWorld
68.1364,2074504,CullingDebugWorld
69.5524,2240496,CullingDebugWorld
19.4626,2409432,CullingDebugWorld
12.8864,2411440,CullingDebugWorld
7.3695,2413448,CullingDebugWorld
57.0965,2415392,CullingDebugWorld
69.1945,2417496,CullingDebugWorld
69.1496,2583456,CullingDebugWorld
18.1105,2585464,CullingDebugWorld
9.420899,2587248,CullingDebugWorld
7.571,2589256,CullingDebugWorld
55.7784,2591584,CullingDebugWorld
58.291,2593496,CullingDebugWorld
56.3076,2595600,CullingDebugWorld
57.3591,2761560,CullingDebugWorld
15.1974,2928032,CullingDebugWorld
10.2346,3094088,CullingDebugWorld
9.9761,3260144,CullingDebugWorld
10.3693,3261928,CullingDebugWorld
7.7789,3263936,CullingDebugWorld
7.3707,3266104,CullingDebugWorld
10.0448,3268112,CullingDebugWorld
7.6654,3270312,CullingDebugWorld
56.0837,3272224,CullingDebugWorld
56.8567,3662392,CullingDebugWorld
12.2249,3829512,CullingDebugWorld
10.7616,3996000,CullingDebugWorld
10.1519,3998560,CullingDebugWorld
7.8842,4000568,CullingDebugWorld
7.5055,4002600,CullingDebugWorld
7.4464,4004640,CullingDebugWorld
7.4495,4006680,CullingDebugWorld
57.6996,4172272,CullingDebugWorld
11.6255,4338248,CullingDebugWorld
11.3438,4728456,CullingDebugWorld
11.6857,5119752,CullingDebugWorld
12.1406,5127304,CullingDebugWorld
7.5488,5129344,CullingDebugWorld
7.2948,5131384,CullingDebugWorld
7.5788,5129128,CullingDebugWorld
7.6313,5131136,CullingDebugWorld
55.5736,5132648,CullingDebugWorld
56.9154,5523008,CullingDebugWorld
12.5644,5914080,CullingDebugWorld
11.4449,6305304,CullingDebugWorld
11.8488,6307864,CullingDebugWorld
7.0294,6314872,CullingDebugWorld
7.4203,6316912,CullingDebugWorld
7.2419,6314696,CullingDebugWorld
7.2816,6316704,CullingDebugWorld
55.2916,6482720,CullingDebugWorld
10.9176,6648776,CullingDebugWorld
10.4039,6650944,CullingDebugWorld
59.1403,6816248,CullingDebugWorld
11.0039,6982304,CullingDebugWorld
10.0947,6983840,CullingDebugWorld
7.7672,6985848,CullingDebugWorld
7.1392,6988008,CullingDebugWorld
