FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
16.505,255880922,Greedy_FlatArray,0
16.9211,255421477,Greedy_FlatArray,0
16.3848,254266950,Greedy_FlatArray,0
16.5989,255489841,Greedy_FlatArray,0
16.7428,255950688,Greedy_FlatArray,0
16.6125,255489513,Greedy_FlatArray,0
16.6946,255950882,Greedy_FlatArray,0
16.6329,255491461,Greedy_FlatArray,0
16.7405,255954644,Greedy_FlatArray,0
16.496,255492968,Greedy_FlatArray,0
17.3551,254264327,Greedy_FlatArray,0
16.0903,254462744,Greedy_FlatArray,0
16.5768,255963654,Greedy_FlatArray,0
16.7427,254206910,Greedy_FlatArray,0
19.4074,254803093,Greedy_FlatArray,0
13.9197,254180952,Greedy_FlatArray,0
16.8084,256518153,Greedy_FlatArray,0
16.4379,254193000,Greedy_FlatArray,0
16.7585,256593728,Greedy_FlatArray,0
17.1932,254297294,Greedy_FlatArray,0
17.2485,256863611,Greedy_FlatArray,0
17.5973,256660738,Greedy_FlatArray,0
29.7193,257194623,Greedy_FlatArray,0
22.3889,256728630,Greedy_FlatArray,0
14.6367,256872470,Greedy_FlatArray,0
18.0167,256644302,Greedy_FlatArray,0
14.9993,256766143,Greedy_FlatArray,0
16.6285,256639807,Greedy_FlatArray,0
16.2132,256714518,Greedy_FlatArray,0
17.4671,256479552,Greedy_FlatArray,0
19.8919,256870307,Greedy_FlatArray,0
16.088,256681568,Greedy_FlatArray,0
34.4734,256827902,Greedy_FlatArray,0
14.8219,256792271,Greedy_FlatArray,0
31.7996,256908398,Greedy_FlatArray,0
15.8623,256721160,Greedy_FlatArray,0
21.5942,256904602,Greedy_FlatArray,0
28.7542,256858124,Greedy_FlatArray,0
17.9496,257085409,Greedy_FlatArray,0
17.7385,256874488,Greedy_FlatArray,0
16.5599,256999685,Greedy_FlatArray,0
30.9842,256699545,Greedy_FlatArray,0
16.6387,256976233,Greedy_FlatArray,0
34.1873,256789722,Greedy_FlatArray,0
15.9657,256946670,Greedy_FlatArray,0
15.9541,256728943,Greedy_FlatArray,0
17.1636,256884500,Greedy_FlatArray,0
