FrameTimeMillis,MemoryUsageBytes,Technique
7.3027,3811696,CullingDebugWorld
7.3127,3813512,CullingDebugWorld
7.525,3815552,CullingDebugWorld
55.4671,3981560,CullingDebugWorld
10.9193,4147664,CullingDebugWorld
10.5432,4537872,CullingDebugWorld
12.1321,4929008,CullingDebugWorld
11.7279,4931600,CullingDebugWorld
7.897,4938472,CullingDebugWorld
7.5281,4940512,CullingDebugWorld
7.4175,4942520,CullingDebugWorld
7.382,4940032,CullingDebugWorld
56.1215,4941936,CullingDebugWorld
58.2851,5332104,CullingDebugWorld
12.5415,5723192,CullingDebugWorld
11.0176,6114192,CullingDebugWorld
11.2896,6116760,CullingDebugWorld
7.3128,6124024,CullingDebugWorld
7.0513,6126064,CullingDebugWorld
7.0056,6128104,CullingDebugWorld
11.9462,6109304,CullingDebugWorld
55.9677,6275264,CullingDebugWorld
11.1508,6441320,CullingDebugWorld
9.9387,6443328,CullingDebugWorld
56.0466,6608848,CullingDebugWorld
11.1177,6774904,CullingDebugWorld
10.0641,6776440,CullingDebugWorld
7.4526,6778448,CullingDebugWorld
7.1885,6780456,CullingDebugWorld
7.8598,6779872,CullingDebugWorld
5.9048,6780352,CullingDebugWorld
5.4,6780832,CullingDebugWorld
6.018,6782256,CullingDebugWorld
5.7914,6782736,CullingDebugWorld
5.4658,6783216,CullingDebugWorld
5.7638,6783696,CullingDebugWorld
5.3789,6784176,CullingDebugWorld
5.2271,6784656,CullingDebugWorld
5.0465,6785136,CullingDebugWorld
5.1324,6785408,CullingDebugWorld
4.7745,674752,NaiveDebugWorld
28.8328,2671176,NaiveDebugWorld
45.9242,2683568,NaiveDebugWorld
21.5888,2686192,NaiveDebugWorld
13.9174,2686672,NaiveDebugWorld
8.1517,2687152,NaiveDebugWorld
5.3754,2687632,NaiveDebugWorld
5.2326,2687888,NaiveDebugWorld
18.436,35844576,NaiveDebugWorld
329.7638,68994240,NaiveDebugWorld
310.65,69972992,NaiveDebugWorld
20.5131,69980824,NaiveDebugWorld
8.7113,103142608,NaiveDebugWorld
291.6384,136299304,NaiveDebugWorld
298.866,211070360,NaiveDebugWorld
569.8138,212049536,NaiveDebugWorld
33.3595,213460776,NaiveDebugWorld
20.2231,213479752,NaiveDebugWorld
8.015,288250304,NaiveDebugWorld
592.5069,321407496,NaiveDebugWorld
302.5238,396138696,NaiveDebugWorld
577.8636,397122392,NaiveDebugWorld
19.8446,397130640,NaiveDebugWorld
7.5011,471860288,NaiveDebugWorld
557.3728,505017816,NaiveDebugWorld
291.6984,579748840,NaiveDebugWorld
610.4465,654480536,NaiveDebugWorld
625.8065,656755472,NaiveDebugWorld
31.94,656764248,NaiveDebugWorld
8.4382,731494728,NaiveDebugWorld
517.5164,764651648,NaiveDebugWorld
254.1509,797814216,NaiveDebugWorld
243.6199,830976960,NaiveDebugWorld
236.5363,831955832,NaiveDebugWorld
16.8708,831963664,NaiveDebugWorld
7.8715,865125448,NaiveDebugWorld
230.635,898282368,NaiveDebugWorld
244.3466,931445112,NaiveDebugWorld
246.1076,932423968,NaiveDebugWorld
22.1603,933409080,NaiveDebugWorld
14.6806,934387952,NaiveDebugWorld
12.9998,935366808,NaiveDebugWorld
87.0497,935368816,NaiveDebugWorld
43.5236,935370824,NaiveDebugWorld
37.2312,935372832,NaiveDebugWorld
37.6287,935374840,NaiveDebugWorld
37.5853,1010101608,NaiveDebugWorld
507.6761,1043259176,NaiveDebugWorld
268.8475,1045533240,NaiveDebugWorld
21.8003,1047814088,NaiveDebugWorld
18.1638,1050089888,NaiveDebugWorld
18.5196,1050092464,NaiveDebugWorld
7.336,1050094520,NaiveDebugWorld
13.4354,1050096560,NaiveDebugWorld
38.4394,1050098600,NaiveDebugWorld
38.4177,1124825848,NaiveDebugWorld
505.5265,1157982592,NaiveDebugWorld
264.6769,1160256624,NaiveDebugWorld
21.7985,1162538232,NaiveDebugWorld
19.8112,1163519240,NaiveDebugWorld
14.4432,1163521288,NaiveDebugWorld
7.4885,1163523328,NaiveDebugWorld
17.0604,1163525384,NaiveDebugWorld
38.0377,1163527424,NaiveDebugWorld
38.7092,1196686808,NaiveDebugWorld
230.7873,1197659976,NaiveDebugWorld
14.8516,1199940264,NaiveDebugWorld
18.4469,1202214880,NaiveDebugWorld
18.5653,1203194368,NaiveDebugWorld
12.9629,1203196424,NaiveDebugWorld
15.5345,1203198464,NaiveDebugWorld
39.2354,1203199152,NaiveDebugWorld
38.3846,1203201160,NaiveDebugWorld
36.7655,1236359792,NaiveDebugWorld
232.9618,1237333184,NaiveDebugWorld
15.0061,1238317880,NaiveDebugWorld
12.5795,1239296736,NaiveDebugWorld
12.6845,1240274696,NaiveDebugWorld
12.9534,1240276704,NaiveDebugWorld
27.1826,1240278712,NaiveDebugWorld
37.8414,1240280720,NaiveDebugWorld
38.7736,1240282728,NaiveDebugWorld
37.8423,1240281856,NaiveDebugWorld
37.5733,1240282336,NaiveDebugWorld
37.9839,1240282816,NaiveDebugWorld
38.5024,1240283296,NaiveDebugWorld
38.0914,1240283776,NaiveDebugWorld
37.6294,1240284256,NaiveDebugWorld
38.0365,1240284736,NaiveDebugWorld
38.5669,1240285216,NaiveDebugWorld
37.4513,1240285696,NaiveDebugWorld
38.0197,1240286176,NaiveDebugWorld
38.1621,1240286656,NaiveDebugWorld
38.8368,1240287136,NaiveDebugWorld
36.9045,1240287616,NaiveDebugWorld
38.3342,1240288096,NaiveDebugWorld
38.2843,1240288576,NaiveDebugWorld
38.2245,1240289056,NaiveDebugWorld
37.4064,1240289536,NaiveDebugWorld
37.9813,1240290016,NaiveDebugWorld
5.9241,662200,CullingDebugWorld
20.9607,613136,CullingDebugWorld
18.1913,612736,CullingDebugWorld
21.3628,625904,CullingDebugWorld
17.1264,628528,CullingDebugWorld
8.2351,629008,CullingDebugWorld
5.1866,629488,CullingDebugWorld
5.0211,629744,CullingDebugWorld
17.8609,630384,CullingDebugWorld
17.9212,630864,CullingDebugWorld
11.5795,631504,CullingDebugWorld
7.4787,631984,CullingDebugWorld
5.2365,632464,CullingDebugWorld
7.5291,632944,CullingDebugWorld
17.663,636192,CullingDebugWorld
